	Facies	Formation	Well Name	Depth	GR	ILD_log10	DeltaPHI	PHIND	PE	NM_M	RELPOS
0	3	A1 SH	SHRIMPLIN	2793.0	77.4321236428	0.664	9.9387761802	11.9166899377	4.59902894101	1	1.0
1	3	A1 SH	SHRIMPLIN	2793.5	78.2421236428	0.661	14.2387761802	12.5666899377	4.09902894101	1	0.979
2	3	A1 SH	SHRIMPLIN	2794.0	79.0321236428	0.658	14.8387761802	13.0516899377	3.59902894101	1	0.957
3	3	A1 SH	SHRIMPLIN	2794.5	86.0821236428	0.655	13.9387761802	13.1166899377	3.49902894101	1	0.936
4	3	A1 SH	SHRIMPLIN	2795.0	74.5621236428	0.647	13.5387761802	13.3016899377	3.39902894101	1	0.915
5	3	A1 SH	SHRIMPLIN	2795.5	73.9521236428	0.636	14.0387761802	13.3866899377	3.59902894101	1	0.894
6	3	A1 SH	SHRIMPLIN	2796.0	73.7021236428	0.63	15.6387761802	13.9316899377	3.69902894101	1	0.872
7	3	A1 SH	SHRIMPLIN	2796.5	75.6321236428	0.625	16.5387761802	13.9216899377	3.49902894101	1	0.83
8	3	A1 SH	SHRIMPLIN	2797.0	73.7721236428	0.624	16.2387761802	13.9816899377	3.39902894101	1	0.809
9	3	A1 SH	SHRIMPLIN	2797.5	76.8721236428	0.615	16.9387761802	14.2216899377	3.49902894101	1	0.787
10	3	A1 SH	SHRIMPLIN	2798.0	76.0921236428	0.6	14.8387761802	13.3766899377	3.59902894101	1	0.766
11	3	A1 SH	SHRIMPLIN	2798.5	74.9321236428	0.583	13.3387761802	12.6916899377	3.69902894101	1	0.745
12	3	A1 SH	SHRIMPLIN	2799.0	71.8521236428	0.561	11.3387761802	12.4766899377	3.49902894101	1	0.723
13	3	A1 SH	SHRIMPLIN	2799.5	83.4021236428	0.537	13.3387761802	14.9316899377	3.39902894101	1	0.702
14	2	A1 SH	SHRIMPLIN	2800.0	90.0821236428	0.519	14.3387761802	16.5566899377	3.19902894101	1	0.681
15	2	A1 SH	SHRIMPLIN	2800.5	78.1321236428	0.467	11.8387761802	15.9616899377	3.09902894101	1	0.638
16	2	A1 SH	SHRIMPLIN	2801.0	69.2821236428	0.438	9.5387761802	15.1216899377	3.09902894101	1	0.617
17	2	A1 SH	SHRIMPLIN	2801.5	63.5221236428	0.418	8.8387761802	15.1916899377	2.99902894101	1	0.596
18	2	A1 SH	SHRIMPLIN	2802.0	63.8521236428	0.401	7.2387761802	15.3916899377	2.89902894101	1	0.574
19	2	A1 SH	SHRIMPLIN	2802.5	58.3021236428	0.386	6.6387761802	14.8866899377	2.79902894101	1	0.553
20	2	A1 SH	SHRIMPLIN	2803.0	56.5921236428	0.369	5.5387761802	14.8016899377	2.99902894101	1	0.532
21	2	A1 SH	SHRIMPLIN	2803.5	55.9521236428	0.352	6.1387761802	14.4616899377	2.99902894101	1	0.511
22	2	A1 SH	SHRIMPLIN	2804.0	63.6521236428	0.344	6.0387761802	14.7466899377	2.99902894101	1	0.489
23	2	A1 SH	SHRIMPLIN	2804.5	66.1821236428	0.342	6.8387761802	15.1366899377	2.99902894101	1	0.468
24	2	A1 SH	SHRIMPLIN	2805.0	61.2521236428	0.346	6.1387761802	15.4816899377	2.99902894101	1	0.447
25	3	A1 SH	SHRIMPLIN	2805.5	69.4621236428	0.354	5.8387761802	14.6766899377	2.99902894101	1	0.404
26	3	A1 SH	SHRIMPLIN	2806.0	76.3521236428	0.354	5.2387761802	13.6366899377	2.99902894101	1	0.383
27	2	A1 SH	SHRIMPLIN	2806.5	82.1821236428	0.348	7.4387761802	15.0566899377	2.99902894101	1	0.362
28	2	A1 SH	SHRIMPLIN	2807.0	90.2321236428	0.346	11.5387761802	20.2316899377	3.09902894101	1	0.34
29	2	A1 SH	SHRIMPLIN	2807.5	94.3621236428	0.358	14.2387761802	24.0166899377	2.99902894101	1	0.319
30	2	A1 SH	SHRIMPLIN	2808.0	87.4221236428	0.377	13.9387761802	23.5816899377	3.09902894101	1	0.298
31	2	A1 SH	SHRIMPLIN	2808.5	70.9621236428	0.401	11.5387761802	18.3966899377	3.09902894101	1	0.277
32	2	A1 SH	SHRIMPLIN	2809.0	64.7021236428	0.439	10.3387761802	13.8166899377	3.09902894101	1	0.255
33	3	A1 SH	SHRIMPLIN	2809.5	54.2721236428	0.47	9.9387761802	9.44168993775	3.19902894101	1	0.234
34	3	A1 SH	SHRIMPLIN	2810.0	41.4421236428	0.493	11.1387761802	5.25668993775	3.39902894101	1	0.213
35	3	A1 SH	SHRIMPLIN	2810.5	50.9121236428	0.524	12.1387761802	5.26668993775	4.59902894101	1	0.17
36	3	A1 SH	SHRIMPLIN	2811.0	72.7721236428	0.543	11.3387761802	11.7616899377	4.09902894101	1	0.149
37	3	A1 SH	SHRIMPLIN	2811.5	95.3221236428	0.555	14.1387761802	17.6666899377	3.49902894101	1	0.128
38	3	A1 SH	SHRIMPLIN	2812.0	102.332123643	0.558	15.8387761802	20.1466899377	3.19902894101	1	0.106
39	3	A1 SH	SHRIMPLIN	2812.5	79.6821236428	0.549	15.5387761802	18.0716899377	3.19902894101	1	0.085
40	3	A1 SH	SHRIMPLIN	2813.0	66.6721236428	0.53	14.0387761802	15.7216899377	3.29902894101	1	0.064
41	2	A1 SH	SHRIMPLIN	2813.5	73.6621236428	0.521	14.7387761802	15.9816899377	3.29902894101	1	0.043
42	2	A1 SH	SHRIMPLIN	2814.0	71.0321236428	0.535	17.2387761802	18.0216899377	3.29902894101	1	0.021
43	8	A1 LM	SHRIMPLIN	2814.5	57.0021236428	0.628	11.6387761802	12.0916899377	3.49902894101	2	1.0
44	8	A1 LM	SHRIMPLIN	2815.0	43.2721236428	0.702	7.3387761802	6.70668993775	3.99902894101	2	0.981
45	8	A1 LM	SHRIMPLIN	2815.5	36.0421236428	0.762	5.7387761802	4.59668993775	4.99902894101	2	0.963
46	8	A1 LM	SHRIMPLIN	2816.0	45.9821236428	0.823	5.1387761802	4.62168993775	5.49902894101	2	0.944
47	6	A1 LM	SHRIMPLIN	2816.5	60.2821236428	0.915	4.6387761802	5.01168993775	5.59902894101	2	0.926
48	6	A1 LM	SHRIMPLIN	2817.0	75.2021236428	0.999	4.4387761802	5.29668993775	5.49902894101	2	0.907
49	6	A1 LM	SHRIMPLIN	2817.5	87.1721236428	1.045	4.7387761802	5.32168993775	5.39902894101	2	0.889
50	6	A1 LM	SHRIMPLIN	2818.0	86.8421236428	1.064	5.2387761802	5.78668993775	5.39902894101	2	0.87
51	6	A1 LM	SHRIMPLIN	2818.5	87.9821236428	1.051	6.5387761802	6.38168993775	5.39902894101	2	0.852
52	6	A1 LM	SHRIMPLIN	2819.0	75.4521236428	1.018	7.8387761802	7.21668993775	5.49902894101	2	0.833
53	6	A1 LM	SHRIMPLIN	2819.5	59.3421236428	0.972	10.0387761802	8.92668993775	4.89902894101	2	0.796
54	6	A1 LM	SHRIMPLIN	2820.0	55.5521236428	0.952	8.6387761802	9.35668993775	4.49902894101	2	0.778
55	6	A1 LM	SHRIMPLIN	2820.5	46.9421236428	0.924	5.4387761802	9.12168993775	4.29902894101	2	0.759
56	6	A1 LM	SHRIMPLIN	2821.0	43.6521236428	0.876	3.6387761802	8.22668993775	4.09902894101	2	0.741
57	6	A1 LM	SHRIMPLIN	2821.5	55.2121236428	0.826	5.1387761802	7.87668993775	4.29902894101	2	0.722
58	6	A1 LM	SHRIMPLIN	2822.0	61.2221236428	0.777	9.7387761802	8.57668993775	4.29902894101	2	0.704
59	6	A1 LM	SHRIMPLIN	2822.5	54.4421236428	0.728	12.8387761802	10.6616899377	4.39902894101	2	0.685
60	7	A1 LM	SHRIMPLIN	2823.0	43.2121236428	0.699	14.9387761802	12.3766899377	3.99902894101	2	0.667
61	7	A1 LM	SHRIMPLIN	2823.5	44.5721236428	0.682	16.0387761802	13.5416899377	3.89902894101	2	0.648
62	4	A1 LM	SHRIMPLIN	2824.0	47.4621236428	0.676	16.5387761802	12.8916899377	3.69902894101	2	0.63
63	4	A1 LM	SHRIMPLIN	2824.5	61.0821236428	0.671	15.2387761802	11.7866899377	3.69902894101	2	0.611
64	4	A1 LM	SHRIMPLIN	2825.0	64.8021236428	0.68	9.1387761802	8.97168993775	4.49902894101	2	0.574
65	4	A1 LM	SHRIMPLIN	2825.5	55.7521236428	0.71	6.1387761802	8.93168993775	5.09902894101	2	0.556
66	4	A1 LM	SHRIMPLIN	2826.0	62.2021236428	0.744	4.3387761802	9.21668993775	5.49902894101	2	0.537
67	6	A1 LM	SHRIMPLIN	2826.5	55.0421236428	0.786	2.9387761802	9.50168993775	5.59902894101	2	0.519
68	6	A1 LM	SHRIMPLIN	2827.0	71.0021236428	0.839	3.1387761802	8.89168993775	5.39902894101	2	0.5
69	6	A1 LM	SHRIMPLIN	2827.5	91.3521236428	0.881	3.9387761802	8.06168993775	5.29902894101	2	0.481
70	6	A1 LM	SHRIMPLIN	2828.0	115.402123643	0.911	5.2387761802	6.87668993775	5.29902894101	2	0.463
71	6	A1 LM	SHRIMPLIN	2828.5	115.682123643	0.94	5.9387761802	6.08668993775	5.19902894101	2	0.444
72	6	A1 LM	SHRIMPLIN	2829.0	107.092123643	0.972	6.0387761802	6.13668993775	5.59902894101	2	0.426
73	6	A1 LM	SHRIMPLIN	2829.5	93.8021236428	1.008	5.8387761802	6.64168993775	5.59902894101	2	0.407
74	6	A1 LM	SHRIMPLIN	2830.0	61.6121236428	1.061	3.6387761802	6.86668993775	6.09902894101	2	0.37
